period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:53.0,113,Foul: Personal,Joe Johnson,DeMar DeRozan,CNC,Johnson (BKN) and Brown (BKN) make incidental contact that does not affect DeRozan's (TOR) RSBQ at the start of his drive.,http://official.nba.com/last-two-minute-report/?gameNo=0021401130&eventNum=1260,20150403TORBKN,20150403TORBKN-0,TOR,BKN,20150403,Scott Foster,David Guthrie,Eli Roe,109,114,L2M-TOR-BKN-4-3-15.pdf,http://www.basketball-reference.com/boxscores/201504030BRK.html,TOR,BKN
Q4,01:52.0,112,Foul: Shooting,Joe Johnson,DeMar DeRozan,CNC,LATR shows Johnson (BKN) legally contests DeRozan's (TOR) shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021401130&eventNum=1261,20150403TORBKN,20150403TORBKN-1,TOR,BKN,20150403,Scott Foster,David Guthrie,Eli Roe,109,114,L2M-TOR-BKN-4-3-15.pdf,http://www.basketball-reference.com/boxscores/201504030BRK.html,TOR,BKN
Q4,01:49.0,109,Instant Replay: Support Ruling,,,CC,"After communicating with the Replay Center, the ruling on the court that Williams (BKN) touched the ball last was upheld and TOR is awarded possession.",http://official.nba.com/last-two-minute-report/?gameNo=0021401130&eventNum=473,20150403TORBKN,20150403TORBKN-2,TOR,BKN,20150403,Scott Foster,David Guthrie,Eli Roe,109,114,L2M-TOR-BKN-4-3-15.pdf,http://www.basketball-reference.com/boxscores/201504030BRK.html,,
Q4,01:08.0,68,Foul: Personal,Brook Lopez,DeMar DeRozan,CNC,Lopez (BKN) makes incidental contact and does not affect DeRozan's (TOR) RSBQ at the start of his drive.,http://official.nba.com/last-two-minute-report/?gameNo=0021401130&eventNum=1264,20150403TORBKN,20150403TORBKN-3,TOR,BKN,20150403,Scott Foster,David Guthrie,Eli Roe,109,114,L2M-TOR-BKN-4-3-15.pdf,http://www.basketball-reference.com/boxscores/201504030BRK.html,TOR,BKN
Q4,00:44.5,44.5,Foul: Personal,Joe Johnson,DeMar DeRozan,CNC,Johnson (BKN) and DeRozan (TOR) make incidental contact on the perimeter away from the ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021401130&eventNum=1266,20150403TORBKN,20150403TORBKN-4,TOR,BKN,20150403,Scott Foster,David Guthrie,Eli Roe,109,114,L2M-TOR-BKN-4-3-15.pdf,http://www.basketball-reference.com/boxscores/201504030BRK.html,TOR,BKN
Q4,00:25.8,25.8,Foul: Shooting,Greivis Vasquez,Deron Williams,CNC,L-SLA shows that Vasquez (TOR) has his hand on Williams' (BKN) hip but there is no push that affects his shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021401130&eventNum=1258,20150403TORBKN,20150403TORBKN-5,TOR,BKN,20150403,Scott Foster,David Guthrie,Eli Roe,109,114,L2M-TOR-BKN-4-3-15.pdf,http://www.basketball-reference.com/boxscores/201504030BRK.html,BKN,TOR
Q4,00:11.3,11.3,Foul: Personal,Patrick Patterson,Thaddeus Young,CNC,Patterson (TOR) attempts a take foul on Young (BKN) but never makes contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021401130&eventNum=1268,20150403TORBKN,20150403TORBKN-6,TOR,BKN,20150403,Scott Foster,David Guthrie,Eli Roe,109,114,L2M-TOR-BKN-4-3-15.pdf,http://www.basketball-reference.com/boxscores/201504030BRK.html,BKN,TOR
Q4,00:09.6,9.6,Foul: Clear Path,DeMar DeRozan,Joe Johnson,CC,DeRozan (TOR) commits a clear path foul on Johnson (BKN).,http://official.nba.com/last-two-minute-report/?gameNo=0021401130&eventNum=491,20150403TORBKN,20150403TORBKN-7,TOR,BKN,20150403,Scott Foster,David Guthrie,Eli Roe,109,114,L2M-TOR-BKN-4-3-15.pdf,http://www.basketball-reference.com/boxscores/201504030BRK.html,BKN,TOR
Q4,00:09.6,9.6,Instant Replay: Support Ruling,DeMar DeRozan,Joe Johnson,CC,"After communicating with the Replay Center, the ruling on the court that DeRozan (TOR) committed a clear path foul was upheld.",http://official.nba.com/last-two-minute-report/?gameNo=0021401130&eventNum=492,20150403TORBKN,20150403TORBKN-8,TOR,BKN,20150403,Scott Foster,David Guthrie,Eli Roe,109,114,L2M-TOR-BKN-4-3-15.pdf,http://www.basketball-reference.com/boxscores/201504030BRK.html,BKN,TOR
Q4,00:08.0,8,Foul: Personal,James Johnson,Joe Johnson,CC,Johnson (TOR) commits a take foul on Johnson (BKN).,http://official.nba.com/last-two-minute-report/?gameNo=0021401130&eventNum=498,20150403TORBKN,20150403TORBKN-9,TOR,BKN,20150403,Scott Foster,David Guthrie,Eli Roe,109,114,L2M-TOR-BKN-4-3-15.pdf,http://www.basketball-reference.com/boxscores/201504030BRK.html,TOR,TOR
