period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,ref_4,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:55.0,115,Foul: Loose Ball,Lavoy Allen,Paul Millsap,CNC,Allen (IND) and Millsap (ATL) briefly engage and separate during rebounding.,http://official.nba.com/last-two-minute-report/?gameNo=0021500750&eventNum=1311,20160205INDATL,20160205INDATL-0,IND,ATL,20160205,Kevin Cutler,Leroy Richardson,Tom Washington,,96,102,L2M-IND-ATL-2-5-16-1.pdf,https://www.basketball-reference.com/boxscores/201602050ATL.html,ATL,IND
Q4,01:54.0,114,Foul: Loose Ball,Paul Millsap,Lavoy Allen,CNC,Millsap (ATL) makes incidental contact with Allen (IND) during rebounding.,http://official.nba.com/last-two-minute-report/?gameNo=0021500750&eventNum=1312,20160205INDATL,20160205INDATL-1,IND,ATL,20160205,Kevin Cutler,Leroy Richardson,Tom Washington,,96,102,L2M-IND-ATL-2-5-16-1.pdf,https://www.basketball-reference.com/boxscores/201602050ATL.html,IND,ATL
Q4,01:45.0,105,Foul: Personal,Kyle Korver,George Hill,CC,Korver (ATL) pushes Hill (IND) affecting his ability to set the screen.,http://official.nba.com/last-two-minute-report/?gameNo=0021500750&eventNum=489,20160205INDATL,20160205INDATL-2,IND,ATL,20160205,Kevin Cutler,Leroy Richardson,Tom Washington,,96,102,L2M-IND-ATL-2-5-16-1.pdf,https://www.basketball-reference.com/boxscores/201602050ATL.html,IND,ATL
Q4,01:25.0,85,Foul: Offensive,Thabo Sefolosha,Jordan Hill,CNC,Sefolosha (ATL) sets the screen on Hill (IND) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021500750&eventNum=1313,20160205INDATL,20160205INDATL-3,IND,ATL,20160205,Kevin Cutler,Leroy Richardson,Tom Washington,,96,102,L2M-IND-ATL-2-5-16-1.pdf,https://www.basketball-reference.com/boxscores/201602050ATL.html,IND,ATL
Q4,01:24.0,84,Foul: Offensive,Al Horford,George Hill,CNC,Horford (ATL) sets the screen on Hill (IND) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021500750&eventNum=1314,20160205INDATL,20160205INDATL-4,IND,ATL,20160205,Kevin Cutler,Leroy Richardson,Tom Washington,,96,102,L2M-IND-ATL-2-5-16-1.pdf,https://www.basketball-reference.com/boxscores/201602050ATL.html,IND,ATL
Q4,01:11.0,71,Foul: Offensive,Paul George,Thabo Sefolosha,CNC,George (IND) makes incidental contact with Sefolosha (ATL) who steps on his teammate Teague's (ATL) foot causing him to lose his balance and fall backwards.,http://official.nba.com/last-two-minute-report/?gameNo=0021500750&eventNum=1315,20160205INDATL,20160205INDATL-5,IND,ATL,20160205,Kevin Cutler,Leroy Richardson,Tom Washington,,96,102,L2M-IND-ATL-2-5-16-1.pdf,https://www.basketball-reference.com/boxscores/201602050ATL.html,ATL,IND
Q4,01:05.0,65,Foul: Loose Ball,Paul Millsap,Paul George,INC,Millsap (ATL) makes body to body contact with George (IND) as he secures the loose ball. The contact occurs prior to the start of his upward shooting motion.,http://official.nba.com/last-two-minute-report/?gameNo=0021500750&eventNum=1316,20160205INDATL,20160205INDATL-6,IND,ATL,20160205,Kevin Cutler,Leroy Richardson,Tom Washington,,96,102,L2M-IND-ATL-2-5-16-1.pdf,https://www.basketball-reference.com/boxscores/201602050ATL.html,IND,ATL
Q4,00:49.5,49.5,Foul: Offensive,Al Horford,George Hill,CNC,Horford (ATL) sets the screen on Hill (IND) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021500750&eventNum=1317,20160205INDATL,20160205INDATL-7,IND,ATL,20160205,Kevin Cutler,Leroy Richardson,Tom Washington,,96,102,L2M-IND-ATL-2-5-16-1.pdf,https://www.basketball-reference.com/boxscores/201602050ATL.html,IND,ATL
Q4,00:24.1,24.1,Foul: Personal,Paul George,Jeff Teague,CC,George (IND) commits a take foul on Teague (ATL).,http://official.nba.com/last-two-minute-report/?gameNo=0021500750&eventNum=505,20160205INDATL,20160205INDATL-8,IND,ATL,20160205,Kevin Cutler,Leroy Richardson,Tom Washington,,96,102,L2M-IND-ATL-2-5-16-1.pdf,https://www.basketball-reference.com/boxscores/201602050ATL.html,ATL,IND
Q4,00:24.1,24.1,Foul: Personal,Monta Ellis,Kent Bazemore,INC,Ellis (IND) grabs and holds Bazemore's (ATL) arm affecting his FOM during the inbounds play.,http://official.nba.com/last-two-minute-report/?gameNo=0021500750&eventNum=1318,20160205INDATL,20160205INDATL-9,IND,ATL,20160205,Kevin Cutler,Leroy Richardson,Tom Washington,,96,102,L2M-IND-ATL-2-5-16-1.pdf,https://www.basketball-reference.com/boxscores/201602050ATL.html,ATL,IND
