period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,ref_4,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:56.0,116,Turnover: Traveling,Jeff Teague,,INC,Teague (IND) takes more than the allowed two steps after gathering the ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021600385&eventNum=1096,20161215INDNOP,20161215INDNOP-0,IND,NOP,20161215,Tre Maddox,Michael Smith,Bill Spooner,,95,102,L2M-IND-NOP-12-15-16.pdf,https://www.basketball-reference.com/boxscores/201612150NOP.html,NOP,IND
Q4,01:19.0,79,Foul: Shooting,Anthony Davis,Thaddeus Young,CNC,Davis (NOP) makes incidental contact with Young (IND) that does not affect his jump shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600385&eventNum=1097,20161215INDNOP,20161215INDNOP-1,IND,NOP,20161215,Tre Maddox,Michael Smith,Bill Spooner,,95,102,L2M-IND-NOP-12-15-16.pdf,https://www.basketball-reference.com/boxscores/201612150NOP.html,IND,NOP
Q4,00:57.3,57.3,Foul: Shooting,Thaddeus Young,Anthony Davis,INC,RHH shows that Young (IND) makes contact with Davis' (NOP) body and affects his shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600385&eventNum=1099,20161215INDNOP,20161215INDNOP-2,IND,NOP,20161215,Tre Maddox,Michael Smith,Bill Spooner,,95,102,L2M-IND-NOP-12-15-16.pdf,https://www.basketball-reference.com/boxscores/201612150NOP.html,NOP,IND
Q4,00:55.1,55.1,Foul: Personal,Glenn Robinson,Terrence Jones,CNC,Robinson III (IND) makes incidental contact with Jones (NOP) during rebounding.,http://official.nba.com/last-two-minute-report/?gameNo=0021600385&eventNum=1100,20161215INDNOP,20161215INDNOP-3,IND,NOP,20161215,Tre Maddox,Michael Smith,Bill Spooner,,95,102,L2M-IND-NOP-12-15-16.pdf,https://www.basketball-reference.com/boxscores/201612150NOP.html,NOP,IND
Q4,00:46.9,46.9,Instant Replay: Support Ruling,Thaddeus Young,,CC,"After communicating with the Replay Center, the ruling on the court was upheld.",http://official.nba.com/last-two-minute-report/?gameNo=0021600385&eventNum=582,20161215INDNOP,20161215INDNOP-4,IND,NOP,20161215,Tre Maddox,Michael Smith,Bill Spooner,,95,102,L2M-IND-NOP-12-15-16.pdf,https://www.basketball-reference.com/boxscores/201612150NOP.html,,
Q4,00:45.1,45.1,Foul: Personal,Myles Turner,Anthony Davis,CC,Turner (IND) commits a take foul on Davis (NOP).,http://official.nba.com/last-two-minute-report/?gameNo=0021600385&eventNum=587,20161215INDNOP,20161215INDNOP-5,IND,NOP,20161215,Tre Maddox,Michael Smith,Bill Spooner,,95,102,L2M-IND-NOP-12-15-16.pdf,https://www.basketball-reference.com/boxscores/201612150NOP.html,NOP,IND
Q4,00:45.1,45.1,Violation: Delay of Game,,,CC,Indiana players do not enter the game in a timely fashion after the timeout.,http://official.nba.com/last-two-minute-report/?gameNo=0021600385&eventNum=598,20161215INDNOP,20161215INDNOP-6,IND,NOP,20161215,Tre Maddox,Michael Smith,Bill Spooner,,95,102,L2M-IND-NOP-12-15-16.pdf,https://www.basketball-reference.com/boxscores/201612150NOP.html,,
Q4,00:43.6,43.6,Foul: Personal,E'Twaun Moore,CJ Miles,CNC,Moore (NOP) and Miles (IND) briefly engage and separate off ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021600385&eventNum=1101,20161215INDNOP,20161215INDNOP-7,IND,NOP,20161215,Tre Maddox,Michael Smith,Bill Spooner,,95,102,L2M-IND-NOP-12-15-16.pdf,https://www.basketball-reference.com/boxscores/201612150NOP.html,IND,NOP
Q4,00:42.4,42.4,Foul: Offensive,CJ Miles,Solomon Hill,CNC,Miles (IND) sets the screen on Hill (NOP) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021600385&eventNum=1102,20161215INDNOP,20161215INDNOP-8,IND,NOP,20161215,Tre Maddox,Michael Smith,Bill Spooner,,95,102,L2M-IND-NOP-12-15-16.pdf,https://www.basketball-reference.com/boxscores/201612150NOP.html,NOP,IND
Q4,00:37.0,37,Foul: Offensive,Jeff Teague,Jrue Holiday,CNC,Teague (IND) does not dislodge Holiday (NOP) from his legal guarding position.,http://official.nba.com/last-two-minute-report/?gameNo=0021600385&eventNum=1103,20161215INDNOP,20161215INDNOP-9,IND,NOP,20161215,Tre Maddox,Michael Smith,Bill Spooner,,95,102,L2M-IND-NOP-12-15-16.pdf,https://www.basketball-reference.com/boxscores/201612150NOP.html,NOP,IND
