period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,ref_4,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:47.0,107,Turnover: Traveling,Carmelo Anthony,,,[Observable in enhanced video] Anthony (NYK) moves his pivot foot.,http://official.nba.com/last-two-minute-report/?gameNo=0021600699&eventNum=1058,20170127CHANYK,20170127CHANYK-0,CHA,NYK,20170127,Sean Corbin,Kane Fitzgerald,Scott Twardoski,,107,110,L2M-CHA-NYK-01-27-17.pdf,https://www.basketball-reference.com/boxscores/201701270NYK.html,CHA,NYK
Q4,01:41.0,101,Foul: Shooting,Nicolas Batum,Courtney Lee,CNC,Batum (CHA) legally contests Lee's (NYK) jump shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600699&eventNum=1059,20170127CHANYK,20170127CHANYK-1,CHA,NYK,20170127,Sean Corbin,Kane Fitzgerald,Scott Twardoski,,107,110,L2M-CHA-NYK-01-27-17.pdf,https://www.basketball-reference.com/boxscores/201701270NYK.html,NYK,CHA
Q4,01:26.0,86,Foul: Personal,Carmelo Anthony,Marvin Williams,INC,Anthony (NYK) makes body to body contact with Williams (CHA) that affects his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021600699&eventNum=1060,20170127CHANYK,20170127CHANYK-2,CHA,NYK,20170127,Sean Corbin,Kane Fitzgerald,Scott Twardoski,,107,110,L2M-CHA-NYK-01-27-17.pdf,https://www.basketball-reference.com/boxscores/201701270NYK.html,CHA,NYK
Q4,01:24.0,84,Foul: Offensive,Courtney Lee,Kemba Walker,CNC,Lee (NYK) makes incidental contact with Walker (CHA) that does not dislodge him from his legal guarding position.,http://official.nba.com/last-two-minute-report/?gameNo=0021600699&eventNum=1061,20170127CHANYK,20170127CHANYK-3,CHA,NYK,20170127,Sean Corbin,Kane Fitzgerald,Scott Twardoski,,107,110,L2M-CHA-NYK-01-27-17.pdf,https://www.basketball-reference.com/boxscores/201701270NYK.html,CHA,NYK
Q4,01:04.0,64,Foul: Offensive,Nicolas Batum,Kristaps Porzingis,CC,Batum (CHA) hooks Porzingis (NKY).,http://official.nba.com/last-two-minute-report/?gameNo=0021600699&eventNum=483,20170127CHANYK,20170127CHANYK-4,CHA,NYK,20170127,Sean Corbin,Kane Fitzgerald,Scott Twardoski,,107,110,L2M-CHA-NYK-01-27-17.pdf,https://www.basketball-reference.com/boxscores/201701270NYK.html,NKY,CHA
Q4,00:46.6,46.6,Foul: Offensive,Spencer Hawes,Brandon Jennings,CNC,Hawes (CHA) sets the screen on Jennings (NYK) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021600699&eventNum=1062,20170127CHANYK,20170127CHANYK-5,CHA,NYK,20170127,Sean Corbin,Kane Fitzgerald,Scott Twardoski,,107,110,L2M-CHA-NYK-01-27-17.pdf,https://www.basketball-reference.com/boxscores/201701270NYK.html,NYK,CHA
Q4,00:43.7,43.7,Foul: Loose Ball,Carmelo Anthony,Marvin Williams,CNC,Anthony (NYK) and Williams (CHA) briefly engage and separate during rebounding.,http://official.nba.com/last-two-minute-report/?gameNo=0021600699&eventNum=1063,20170127CHANYK,20170127CHANYK-6,CHA,NYK,20170127,Sean Corbin,Kane Fitzgerald,Scott Twardoski,,107,110,L2M-CHA-NYK-01-27-17.pdf,https://www.basketball-reference.com/boxscores/201701270NYK.html,CHA,NYK
Q4,00:43.7,43.7,Foul: Shooting,Kristaps Porzingis,Kemba Walker,CC,Porzingis (NYK) makes contact with Walker's (CHA) body that affects his driving shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600699&eventNum=486,20170127CHANYK,20170127CHANYK-7,CHA,NYK,20170127,Sean Corbin,Kane Fitzgerald,Scott Twardoski,,107,110,L2M-CHA-NYK-01-27-17.pdf,https://www.basketball-reference.com/boxscores/201701270NYK.html,CHA,NYK
Q4,00:42.7,42.7,Instant Replay: Support Ruling,,,CC,"After communicating with the Replay Center, the ruling on the floor of CHA possession is confirmed.",http://official.nba.com/last-two-minute-report/?gameNo=0021600699&eventNum=493,20170127CHANYK,20170127CHANYK-8,CHA,NYK,20170127,Sean Corbin,Kane Fitzgerald,Scott Twardoski,,107,110,L2M-CHA-NYK-01-27-17.pdf,https://www.basketball-reference.com/boxscores/201701270NYK.html,,
Q4,00:42.7,42.7,Foul: Personal,Carmelo Anthony,Marvin Williams,CNC,Anthony (NKY) makes marginal contact with Williams (CHA) that does not affect his FOM during the inbound.,http://official.nba.com/last-two-minute-report/?gameNo=0021600699&eventNum=1064,20170127CHANYK,20170127CHANYK-9,CHA,NYK,20170127,Sean Corbin,Kane Fitzgerald,Scott Twardoski,,107,110,L2M-CHA-NYK-01-27-17.pdf,https://www.basketball-reference.com/boxscores/201701270NYK.html,CHA,NKY
