period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:46.0,106,Foul: Offensive,Dante Cunningham,CJ McCollum,CNC,Cunningham (NOP) firms up his position and sets the screen on McCollum (POR).,http://official.nba.com/last-two-minute-report/?gameNo=0021700053&eventNum=1002,20171024NOPPOR,20171024NOPPOR-0,NOP,POR,20171024,Mark Ayotte,Bill Kennedy,Derek Richardson,93,103,L2M-NOP-POR-10-24-2017.pdf,https://www.basketball-reference.com/boxscores/201710240POR.html,POR,NOP
Q4,01:46.0,106,Foul: Defense 3 Second,Al-Farouq Aminu,,,[Detectable with stop watch] Aminu (POR) is in the paint without actively guarding an opponent for longer than three seconds.,http://official.nba.com/last-two-minute-report/?gameNo=0021700053&eventNum=1002,20171024NOPPOR,20171024NOPPOR-1,NOP,POR,20171024,Mark Ayotte,Bill Kennedy,Derek Richardson,93,103,L2M-NOP-POR-10-24-2017.pdf,https://www.basketball-reference.com/boxscores/201710240POR.html,NOP,POR
Q4,01:45.0,105,Turnover: Traveling,Jameer Nelson,,,[Observable in enhanced video] Nelson (NOP) hops consecutively on the same foot upon ending his dribble. 01:38.1 01:38.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700053&eventNum=1003,20171024NOPPOR,20171024NOPPOR-2,NOP,POR,20171024,Mark Ayotte,Bill Kennedy,Derek Richardson,93,103,L2M-NOP-POR-10-24-2017.pdf,https://www.basketball-reference.com/boxscores/201710240POR.html,POR,NOP
Q4,01:26.0,86,Foul: Offensive,Jusuf Nurkic,Ian Clark,CNC,Nurkic (POR) sets the screen on Clark (NOP) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021700053&eventNum=1004,20171024NOPPOR,20171024NOPPOR-3,NOP,POR,20171024,Mark Ayotte,Bill Kennedy,Derek Richardson,93,103,L2M-NOP-POR-10-24-2017.pdf,https://www.basketball-reference.com/boxscores/201710240POR.html,NOP,POR
Q4,01:25.0,85,Foul: Shooting,Ian Clark,Damian Lillard,CC,Clark (NOP) makes contact to Lillard's (POR) head that affects his jump shot attempt. 01:25.1 01:25.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700053&eventNum=662,20171024NOPPOR,20171024NOPPOR-4,NOP,POR,20171024,Mark Ayotte,Bill Kennedy,Derek Richardson,93,103,L2M-NOP-POR-10-24-2017.pdf,https://www.basketball-reference.com/boxscores/201710240POR.html,POR,NOP
Q4,01:20.0,80,Turnover: Traveling,Jameer Nelson,,,[Observable in enhanced video] RATR shows Nelson (NOP) splits his feet on the perimeter.,http://official.nba.com/last-two-minute-report/?gameNo=0021700053&eventNum=1005,20171024NOPPOR,20171024NOPPOR-5,NOP,POR,20171024,Mark Ayotte,Bill Kennedy,Derek Richardson,93,103,L2M-NOP-POR-10-24-2017.pdf,https://www.basketball-reference.com/boxscores/201710240POR.html,POR,NOP
Q4,01:18.0,78,Foul: Personal,Jusuf Nurkic,DeMarcus Cousins,CNC,Nurkic (POR) makes marginal contact with Cousins (NOP) that does not affect his FOM.,http://official.nba.com/last-two-minute-report/?gameNo=0021700053&eventNum=1006,20171024NOPPOR,20171024NOPPOR-6,NOP,POR,20171024,Mark Ayotte,Bill Kennedy,Derek Richardson,93,103,L2M-NOP-POR-10-24-2017.pdf,https://www.basketball-reference.com/boxscores/201710240POR.html,NOP,POR
Q4,01:13.0,73,Foul: Shooting,Jusuf Nurkic,DeMarcus Cousins,CNC,Nurkic (POR) makes marginal contact with Cousins (NOP) that does not affect his drive to the basket and shot attempt. 01:09.1 01:09.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700053&eventNum=1007,20171024NOPPOR,20171024NOPPOR-7,NOP,POR,20171024,Mark Ayotte,Bill Kennedy,Derek Richardson,93,103,L2M-NOP-POR-10-24-2017.pdf,https://www.basketball-reference.com/boxscores/201710240POR.html,NOP,POR
Q4,00:57.4,57.4,Foul: Shooting,DeMarcus Cousins,Damian Lillard,CC,"Cousins (NOP) pulls Lillard's (POR) jersey away from his body, and the contact affects his shot attempt. 00:51.2 00:51.2",http://official.nba.com/last-two-minute-report/?gameNo=0021700053&eventNum=670,20171024NOPPOR,20171024NOPPOR-8,NOP,POR,20171024,Mark Ayotte,Bill Kennedy,Derek Richardson,93,103,L2M-NOP-POR-10-24-2017.pdf,https://www.basketball-reference.com/boxscores/201710240POR.html,POR,NOP
Q4,00:37.9,37.9,Foul: Personal,DeMarcus Cousins,Jusuf Nurkic,CNC,Cousins (NOP) makes marginal contact with Nurkic (POR) that does not affect his FOM.,http://official.nba.com/last-two-minute-report/?gameNo=0021700053&eventNum=1010,20171024NOPPOR,20171024NOPPOR-9,NOP,POR,20171024,Mark Ayotte,Bill Kennedy,Derek Richardson,93,103,L2M-NOP-POR-10-24-2017.pdf,https://www.basketball-reference.com/boxscores/201710240POR.html,POR,NOP
