period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,ref_4,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:40.0,100,Foul: Offensive,Dwight Howard,Harrison Barnes,CNC,Howard (CHA) firms up his position and sets the screen on Barnes (DAL). The contact following the screen is marginal.,http://official.nba.com/last-two-minute-report/?gameNo=0021701093&eventNum=998,20180324CHADAL,20180324CHADAL-0,CHA,DAL,20180324,Brent Barnaky,Derrick Stafford,Justin Van Duyne,,102,98,L2M-CHA-DAL-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240DAL.html,DAL,CHA
Q4,01:36.0,96,Foul: Shooting,Dennis Smith Jr.,Jeremy Lamb,CNC,Smith Jr. (DAL) makes incidental contact with Lamb (CHA) during his driving shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021701093&eventNum=999,20180324CHADAL,20180324CHADAL-1,CHA,DAL,20180324,Brent Barnaky,Derrick Stafford,Justin Van Duyne,,102,98,L2M-CHA-DAL-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240DAL.html,CHA,DAL
Q4,01:33.0,93,Foul: Shooting,Nerlens Noel,Dwight Howard,CNC,Noel (DAL) makes marginal contact with Howard (CHA) that does not affect his putback shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021701093&eventNum=1000,20180324CHADAL,20180324CHADAL-2,CHA,DAL,20180324,Brent Barnaky,Derrick Stafford,Justin Van Duyne,,102,98,L2M-CHA-DAL-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240DAL.html,CHA,DAL
Q4,01:32.0,92,Foul: Loose Ball,Yogi Ferrell,Marvin Williams,CNC,Ferrell (DAL) makes incidental contact with Williams (CHA) that does not affect his ability to retrieve the rebound.,http://official.nba.com/last-two-minute-report/?gameNo=0021701093&eventNum=1001,20180324CHADAL,20180324CHADAL-3,CHA,DAL,20180324,Brent Barnaky,Derrick Stafford,Justin Van Duyne,,102,98,L2M-CHA-DAL-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240DAL.html,CHA,DAL
Q4,01:31.0,91,Foul: Loose Ball,Harrison Barnes,Dwight Howard,CNC,Barnes (DAL) makes marginal contact with Howard (CHA) that does not affect his ability to retrieve the rebound. 01:30.1 01:30.1,http://official.nba.com/last-two-minute-report/?gameNo=0021701093&eventNum=1002,20180324CHADAL,20180324CHADAL-4,CHA,DAL,20180324,Brent Barnaky,Derrick Stafford,Justin Van Duyne,,102,98,L2M-CHA-DAL-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240DAL.html,CHA,DAL
Q4,01:24.0,84,Foul: Offensive,Dennis Smith Jr.,Kemba Walker,CC,"Smith Jr. (DAL) initiates the contact with Walker (CHA), extending his right arm to create space and dislodge him from his legal guarding position. 01:12.1 01:12.1",http://official.nba.com/last-two-minute-report/?gameNo=0021701093&eventNum=635,20180324CHADAL,20180324CHADAL-5,CHA,DAL,20180324,Brent Barnaky,Derrick Stafford,Justin Van Duyne,,102,98,L2M-CHA-DAL-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240DAL.html,CHA,DAL
Q4,01:07.0,67,Foul: Offensive,Harrison Barnes,Jeremy Lamb,CNC,Barnes (DAL) makes marginal contact with Lamb (CHA) on the screen.,http://official.nba.com/last-two-minute-report/?gameNo=0021701093&eventNum=1003,20180324CHADAL,20180324CHADAL-6,CHA,DAL,20180324,Brent Barnaky,Derrick Stafford,Justin Van Duyne,,102,98,L2M-CHA-DAL-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240DAL.html,CHA,DAL
Q4,01:03.0,63,Foul: Shooting,Dwight Howard,Nerlens Noel,CNC,Howard (CHA) makes incidental body contact with Noel (DAL) that does not affect his putback shot attempt. 01:02.1 01:02.1,http://official.nba.com/last-two-minute-report/?gameNo=0021701093&eventNum=1004,20180324CHADAL,20180324CHADAL-7,CHA,DAL,20180324,Brent Barnaky,Derrick Stafford,Justin Van Duyne,,102,98,L2M-CHA-DAL-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240DAL.html,DAL,CHA
Q4,00:52.2,52.2,Foul: Personal,Nerlens Noel,Kemba Walker,CNC,Noel (DAL) makes marginal contact with Walker (CHA) that does not affect his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021701093&eventNum=1001,20180324CHADAL,20180324CHADAL-8,CHA,DAL,20180324,Brent Barnaky,Derrick Stafford,Justin Van Duyne,,102,98,L2M-CHA-DAL-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240DAL.html,CHA,DAL
Q4,00:43.9,43.9,Foul: Personal,Dennis Smith Jr.,Jeremy Lamb,CNC,Smith Jr. (DAL) makes marginal contact with Lamb (CHA) that does not affect his SQBR. 00:41.9 00:41.9,http://official.nba.com/last-two-minute-report/?gameNo=0021701093&eventNum=1005,20180324CHADAL,20180324CHADAL-9,CHA,DAL,20180324,Brent Barnaky,Derrick Stafford,Justin Van Duyne,,102,98,L2M-CHA-DAL-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240DAL.html,CHA,DAL
