period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:52.0,112,Foul: Shooting,Josh Smith,Kevin Love,CNC,Smith (HOU) does not make contact with Love (CLE) as he attempts the layup.,http://official.nba.com/last-two-minute-report/?gameNo=0021400883&eventNum=1308,20150301CLEHOU,20150301CLEHOU-0,CLE,HOU,20150301,Tony Brown,Dan Crawford,Michael Smith,103,105,L2M-CLE-HOU-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010HOU.html,CLE,HOU
Q4,01:43.0,103,Foul: Shooting,J.R. Smith,James Harden,CC,Smith (CLE) makes contact with the body of Harden (HOU) and the contact affects his movement to the basket.,http://official.nba.com/last-two-minute-report/?gameNo=0021400883&eventNum=548,20150301CLEHOU,20150301CLEHOU-1,CLE,HOU,20150301,Tony Brown,Dan Crawford,Michael Smith,103,105,L2M-CLE-HOU-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010HOU.html,HOU,CLE
Q4,01:32.0,92,Foul: Shooting,Trevor Ariza,LeBron James,CC,Ariza (HOU) makes contact with the shoulder of James (CLE) while trying to strip the ball from behind.,http://official.nba.com/last-two-minute-report/?gameNo=0021400883&eventNum=553,20150301CLEHOU,20150301CLEHOU-2,CLE,HOU,20150301,Tony Brown,Dan Crawford,Michael Smith,103,105,L2M-CLE-HOU-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010HOU.html,CLE,HOU
Q4,01:09.0,69,Foul: Loose Ball,Terrence Jones,Tristan Thompson,CC,Jones (HOU) makes contact with the arm of Thompson (CLE) causing him to lose control of the rebound.,http://official.nba.com/last-two-minute-report/?gameNo=0021400883&eventNum=561,20150301CLEHOU,20150301CLEHOU-3,CLE,HOU,20150301,Tony Brown,Dan Crawford,Michael Smith,103,105,L2M-CLE-HOU-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010HOU.html,CLE,HOU
Q4,00:53.0,53,Foul: Shooting,Tristan Thompson,Josh Smith,CNC,Smith (HOU) loses the ball as he goes up for the shot in the paint.,http://official.nba.com/last-two-minute-report/?gameNo=0021400883&eventNum=1303,20150301CLEHOU,20150301CLEHOU-4,CLE,HOU,20150301,Tony Brown,Dan Crawford,Michael Smith,103,105,L2M-CLE-HOU-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010HOU.html,HOU,CLE
Q4,00:29.1,29.1,Foul: Shooting,Terrence Jones,LeBron James,CNC,Jones (HOU) maintains verticality on drive by James (CLE).,http://official.nba.com/last-two-minute-report/?gameNo=0021400883&eventNum=1309,20150301CLEHOU,20150301CLEHOU-5,CLE,HOU,20150301,Tony Brown,Dan Crawford,Michael Smith,103,105,L2M-CLE-HOU-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010HOU.html,CLE,HOU
Q5,04:34.0,274,Foul: Shooting,Tristan Thompson,Terrence Jones,CC,Thompson (CLE) makes contact to the head of Jones (HOU) from behind on the jump shot.,http://official.nba.com/last-two-minute-report/?gameNo=0021400883&eventNum=590,20150301CLEHOU,20150301CLEHOU-6,CLE,HOU,20150301,Tony Brown,Dan Crawford,Michael Smith,103,105,L2M-CLE-HOU-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010HOU.html,HOU,CLE
Q5,04:34.0,274,Instant Replay: Support Ruling,,,CC,"After communicating with the Replay Center, the foul was confirmed to have taken place prior to the shot clock expiring.",http://official.nba.com/last-two-minute-report/?gameNo=0021400883&eventNum=592,20150301CLEHOU,20150301CLEHOU-7,CLE,HOU,20150301,Tony Brown,Dan Crawford,Michael Smith,103,105,L2M-CLE-HOU-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010HOU.html,,
Q5,04:05.0,245,Foul: Personal,LeBron James,James Harden,CNC,James (CLE) knocks the ball away from Harden (HOU) as he tries to split the perimeter trap.,http://official.nba.com/last-two-minute-report/?gameNo=0021400883&eventNum=1305,20150301CLEHOU,20150301CLEHOU-8,CLE,HOU,20150301,Tony Brown,Dan Crawford,Michael Smith,103,105,L2M-CLE-HOU-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010HOU.html,HOU,CLE
Q5,03:54.0,234,Foul: Double Personal,LeBron James,James Harden,INC,Harden (HOU) walks into space occupied by James (CLE). Contact escalates and should have resulted in a double personal foul.,http://official.nba.com/last-two-minute-report/?gameNo=0021400883&eventNum=1306,20150301CLEHOU,20150301CLEHOU-9,CLE,HOU,20150301,Tony Brown,Dan Crawford,Michael Smith,103,105,L2M-CLE-HOU-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010HOU.html,HOU,CLE
Q5,02:51.0,171,Foul: Shooting,Josh Smith,LeBron James,CNC,Smith (HOU) plays legal defense on the drive to the basket by James (CLE.,http://official.nba.com/last-two-minute-report/?gameNo=0021400883&eventNum=1299,20150301CLEHOU,20150301CLEHOU-10,CLE,HOU,20150301,Tony Brown,Dan Crawford,Michael Smith,103,105,L2M-CLE-HOU-3-1-15.pdf,http://www.basketball-reference.com/boxscores/201503010HOU.html,CLE,HOU
