period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:35.0,95,Foul: Shooting,Jason Smith,Paul Millsap,CNC,Smith (ORL) maintains legal guarding position while defending Millsap (ATL) on his drive and shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=1343,20160208ORLATL,20160208ORLATL-0,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ATL,ORL
Q4,01:24.0,84,Foul: Shooting,Al Horford,Elfrid Payton,CC,Horford (ATL) makes contact to Payton's (ORL) head during his shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=491,20160208ORLATL,20160208ORLATL-1,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ORL,ATL
Q4,00:57.0,57,Turnover: Traveling,Elfrid Payton,,CNC,R-Slash shows Payton (ORL) picks up his dribble while on both feet (his right toe is still touching the floor). He establishes his right foot as his pivot when he lifts his,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=1344,20160208ORLATL,20160208ORLATL-2,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ATL,ORL
Q4,00:21.0,21,Foul: Personal,Al Horford,Nikola Vucevic,CNC,Horford (ATL) maintains legal guarding position and cleanly deflects the inbound pass away from Vucevic (ORL).,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=1345,20160208ORLATL,20160208ORLATL-3,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ORL,ATL
Q4,00:14.0,14,Foul: Offensive,Al Horford,Aaron Gordon,INC,"LATR shows Horford (ATL) extends his leg and hip into Gordon's (ORL) path, without giving him room to avoid the screen and delivering contact.",http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=1343,20160208ORLATL,20160208ORLATL-4,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ORL,ATL
Q4,00:11.7,11.7,Foul: Shooting,Aaron Gordon,Paul Millsap,CC,LATR shows Gordon's (ORL) arms are not vertical as he defends Millsap (ATL) during his shot attempt attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=512,20160208ORLATL,20160208ORLATL-5,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ATL,ORL
Q4,00:11.0,11,Foul: Personal,Al Horford,Nikola Vucevic,CNC,Horford (ATL) and Vucevic (ORL) briefly engage during the inbound pass.,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=1346,20160208ORLATL,20160208ORLATL-6,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ORL,ATL
Q4,00:01.2,1.2,Turnover: 5 Second Violation,,,INC,ATL does not inbound the ball or call the timeout before five seconds elapses.,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=1362,20160208ORLATL,20160208ORLATL-7,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,,
Q4,00:00.0,0,Instant Replay: Support Ruling,,,CC,"After communicating with the Replay Center, the ruling on the court that the shot was taken before the game clock expired was upheld.",http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=534,20160208ORLATL,20160208ORLATL-8,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,,
Q5,04:18.0,258,Foul: Shooting,Jeff Teague,Aaron Gordon,CC,Teague (ATL) makes contact to the arm of Gordon (ORL) that affects his drive to the basket and shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=540,20160208ORLATL,20160208ORLATL-9,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ORL,ATL
Q5,03:14.0,194,Foul: Shooting,Aaron Gordon,Jeff Teague,CC,"Gordon (ORL) jumps A to B and makes contact with Teague (ATL), affecting his shot attempt.",http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=549,20160208ORLATL,20160208ORLATL-10,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ATL,ORL
Q5,03:14.0,194,Instant Replay: Support Ruling,,,CC,"After communicating with the Replay Center, the ruling that Teague's (ATL) shot was taken from behind the three-point line was upheld.",http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=550,20160208ORLATL,20160208ORLATL-11,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,,
Q5,03:13.0,193,Foul: Loose Ball,Nikola Vucevic,Paul Millsap,CNC,Vucevic (ORL) and Millsap (ATL) make incidental contact when they attempt to retrieve the loose ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=1347,20160208ORLATL,20160208ORLATL-12,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ATL,ORL
Q5,02:52.0,172,Foul: Shooting,Al Horford,Nikola Vucevic,IC,Horford (ATL) maintains legal guarding position when defending Vucevic's (ORL) shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=558,20160208ORLATL,20160208ORLATL-13,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ORL,ATL
Q5,01:34.0,94,Foul: Personal,Al Horford,Evan Fournier,CC,Horford (ATL) makes contact with Fournier's (ORL) arm.,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=570,20160208ORLATL,20160208ORLATL-14,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ORL,ATL
Q5,01:31.0,91,Foul: Personal,Al Horford,Nikola Vucevic,CC,Horford (ATL) dislodges Vucevic (ORL) in the post.,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=575,20160208ORLATL,20160208ORLATL-15,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ORL,ATL
Q5,01:23.0,83,Foul: Personal,Evan Fournier,Kyle Korver,CC,"Fournier (ORL) makes contact to Korver (ATL), affecting his freedom of movement off ball.",http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=585,20160208ORLATL,20160208ORLATL-16,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ATL,ORL
Q5,00:58.7,58.7,Foul: Personal,Al Horford,Nikola Vucevic,CC,Horford (ATL) grabs the hip of Vucevic (ORL) which affects his freedom of movement off ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=587,20160208ORLATL,20160208ORLATL-17,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ORL,ATL
Q5,00:54.0,54,Foul: Offensive,Al Horford,Evan Fournier,CNC,Horford (ATL) gives Fournier (ORL) room to avoid the contact on the off ball screen.,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=1349,20160208ORLATL,20160208ORLATL-18,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ORL,ATL
Q5,00:35.0,35,Foul: Offensive,Evan Fournier,Kent Bazemore,CNC,"RHH shows Fournier (ORL) initiates legal contact on the start of his drive with Bazemore (ATL). The contact is not, by itself, enough to dislodge Bazemore from his",http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=1350,20160208ORLATL,20160208ORLATL-19,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ATL,ORL
Q5,00:18.3,18.3,Foul: Personal Take,Kent Bazemore,Victor Oladipo,CC,Bazemore (ATL) commits a take foul on Oladipo (ORL).,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=603,20160208ORLATL,20160208ORLATL-20,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ORL,ATL
Q5,00:18.0,18,Foul: Loose Ball,Paul Millsap,Nikola Vucevic,CNC,Millsap (ATL) and Vucevic (ORL) engage for the long rebound.,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=1364,20160208ORLATL,20160208ORLATL-21,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ORL,ATL
Q5,00:14.3,14.3,Foul: Personal Take,Paul Millsap,Victor Oladipo,CC,Millsap (AT) commits the take foul on Oladipo (ORL).,http://official.nba.com/last-two-minute-report/?gameNo=0021500780&eventNum=609,20160208ORLATL,20160208ORLATL-22,ORL,ATL,20160208,Marc Davis,James Williams,Leon Wood,117,110,L2M-ORL@ATL-2-8-16.pdf,http://www.basketball-reference.com/boxscores/201602080ATL.html,ORL,AT)
