period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:47.0,107,Foul: Offensive,Bismack Biyombo,Danilo Gallinari,CNC,Biyombo (ORL) sets the screen on Gallinari (DEN) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021600347&eventNum=1135,20161210DENORL,20161210DENORL-0,DEN,ORL,20161210,Leroy Richardson,Ben Taylor,Tom Washington,121,113,L2M-DEN-ORL-12-10-16.pdf,http://www.basketball-reference.com/boxscores/201612100ORL.html,DEN,ORL
Q4,01:43.0,103,Foul: Shooting,Will Barton,Evan Fournier,CNC,"Barton (DEN) legally contests Fournier's (ORL) jump shot attempt. Any ""high-five"" contact after the release is considered incidental.",http://official.nba.com/last-two-minute-report/?gameNo=0021600347&eventNum=1136,20161210DENORL,20161210DENORL-1,DEN,ORL,20161210,Leroy Richardson,Ben Taylor,Tom Washington,121,113,L2M-DEN-ORL-12-10-16.pdf,http://www.basketball-reference.com/boxscores/201612100ORL.html,ORL,DEN
Q4,01:12.0,72,Foul: Personal,Jameer Nelson,Evan Fournier,CNC,Nelson (DEN) makes incidental contact with Fournier (ORL) that does not affect his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021600347&eventNum=1137,20161210DENORL,20161210DENORL-2,DEN,ORL,20161210,Leroy Richardson,Ben Taylor,Tom Washington,121,113,L2M-DEN-ORL-12-10-16.pdf,http://www.basketball-reference.com/boxscores/201612100ORL.html,ORL,DEN
Q4,00:47.8,47.8,Foul: Shooting,Jeff Green,Will Barton,CC,RHH shows that Green (ORL) makes contact with Barton's (DEN) body that affects his driving shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600347&eventNum=500,20161210DENORL,20161210DENORL-3,DEN,ORL,20161210,Leroy Richardson,Ben Taylor,Tom Washington,121,113,L2M-DEN-ORL-12-10-16.pdf,http://www.basketball-reference.com/boxscores/201612100ORL.html,DEN,ORL
Q4,00:40.6,40.6,Foul: Personal,Will Barton,Evan Fournier,CNC,Barton (DEN) and Fournier (ORL) make incidental contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021600347&eventNum=1138,20161210DENORL,20161210DENORL-4,DEN,ORL,20161210,Leroy Richardson,Ben Taylor,Tom Washington,121,113,L2M-DEN-ORL-12-10-16.pdf,http://www.basketball-reference.com/boxscores/201612100ORL.html,ORL,DEN
Q4,00:40.4,40.4,Foul: Offensive,Bismack Biyombo,Will Barton,CNC,Biyombo (ORL) sets the screen on Barton (DEN) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021600347&eventNum=1139,20161210DENORL,20161210DENORL-5,DEN,ORL,20161210,Leroy Richardson,Ben Taylor,Tom Washington,121,113,L2M-DEN-ORL-12-10-16.pdf,http://www.basketball-reference.com/boxscores/201612100ORL.html,DEN,ORL
Q4,00:33.3,33.3,Foul: Personal,Kenneth Faried,Jodie Meeks,CNC,Faried (DEN) makes incidental contact with Meeks (ORL) on the perimeter.,http://official.nba.com/last-two-minute-report/?gameNo=0021600347&eventNum=1140,20161210DENORL,20161210DENORL-6,DEN,ORL,20161210,Leroy Richardson,Ben Taylor,Tom Washington,121,113,L2M-DEN-ORL-12-10-16.pdf,http://www.basketball-reference.com/boxscores/201612100ORL.html,ORL,DEN
Q4,00:33.3,33.3,Turnover: 5 Second Inbound,D.J. Augustin,,,[Detectable with stop watch] Augustin (ORL) does not inbound the ball within 5 seconds.,http://official.nba.com/last-two-minute-report/?gameNo=0021600347&eventNum=1140,20161210DENORL,20161210DENORL-7,DEN,ORL,20161210,Leroy Richardson,Ben Taylor,Tom Washington,121,113,L2M-DEN-ORL-12-10-16.pdf,http://www.basketball-reference.com/boxscores/201612100ORL.html,DEN,ORL
Q4,00:33.3,33.3,Foul: Loose Ball,Will Barton,Serge Ibaka,CC,"Barton (DEN) clamps the arm of Ibaka (ORL), affecting his ability to retrieve the rebound.",http://official.nba.com/last-two-minute-report/?gameNo=0021600347&eventNum=513,20161210DENORL,20161210DENORL-8,DEN,ORL,20161210,Leroy Richardson,Ben Taylor,Tom Washington,121,113,L2M-DEN-ORL-12-10-16.pdf,http://www.basketball-reference.com/boxscores/201612100ORL.html,ORL,DEN
Q4,00:28.0,28,Foul: Shooting,Darrell Arthur,Jeff Green,CNC,"Arthur (DEN) legally contests Green's (ORL) jump shot attempt. Any ""high-five"" contact after the release is considered incidental.",http://official.nba.com/last-two-minute-report/?gameNo=0021600347&eventNum=1141,20161210DENORL,20161210DENORL-9,DEN,ORL,20161210,Leroy Richardson,Ben Taylor,Tom Washington,121,113,L2M-DEN-ORL-12-10-16.pdf,http://www.basketball-reference.com/boxscores/201612100ORL.html,ORL,DEN
