period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:31.0,91,Foul: Shooting,Eric Gordon,Sean Kilpatrick,INC,Gordon (HOU) makes contact with Kilpatrick's (BKN) arm that affects his driving shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600364&eventNum=1157,20161212BKNHOU,20161212BKNHOU-0,BKN,HOU,20161212,Steve Anderson,James Capers,Josh Tiven,118,122,L2M-BKN-HOU-12-12-16.pdf,http://www.basketball-reference.com/boxscores/201612120HOU.html,BKN,HOU
Q4,01:30.0,90,Foul: Offensive,Sean Kilpatrick,Nene,CC,Nene (HOU) beats Kilpatrick (BKN) to the spot and obtains a legal guarding position at the time of the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021600364&eventNum=598,20161212BKNHOU,20161212BKNHOU-1,BKN,HOU,20161212,Steve Anderson,James Capers,Josh Tiven,118,122,L2M-BKN-HOU-12-12-16.pdf,http://www.basketball-reference.com/boxscores/201612120HOU.html,HOU,BKN
Q4,01:21.0,81,Foul: Shooting,Brook Lopez,James Harden,CNC,Lopez (BKN) maintains legal guarding position and makes contact with the ball on the driving shot attempt by Harden (HOU).,http://official.nba.com/last-two-minute-report/?gameNo=0021600364&eventNum=1165,20161212BKNHOU,20161212BKNHOU-2,BKN,HOU,20161212,Steve Anderson,James Capers,Josh Tiven,118,122,L2M-BKN-HOU-12-12-16.pdf,http://www.basketball-reference.com/boxscores/201612120HOU.html,HOU,BKN
Q4,01:18.0,78,Foul: Offensive,James Harden,Sean Kilpatrick,CNC,Harden (HOU) makes marginal contact with Kilpatrick (BKN) on the perimeter prior to receiving the pass.,http://official.nba.com/last-two-minute-report/?gameNo=0021600364&eventNum=1158,20161212BKNHOU,20161212BKNHOU-3,BKN,HOU,20161212,Steve Anderson,James Capers,Josh Tiven,118,122,L2M-BKN-HOU-12-12-16.pdf,http://www.basketball-reference.com/boxscores/201612120HOU.html,BKN,HOU
Q4,01:12.0,72,Foul: Shooting,Brook Lopez,James Harden,CNC,"Lopez (BKN) legally contests Harden's (HOU) jump shot attempt. Any ""high-five"" contact after the release is considered incidental.",http://official.nba.com/last-two-minute-report/?gameNo=0021600364&eventNum=1166,20161212BKNHOU,20161212BKNHOU-4,BKN,HOU,20161212,Steve Anderson,James Capers,Josh Tiven,118,122,L2M-BKN-HOU-12-12-16.pdf,http://www.basketball-reference.com/boxscores/201612120HOU.html,HOU,BKN
Q4,01:06.0,66,Foul: Personal,Nene,Brook Lopez,CNC,Nene (HOU) dislodges the ball from Lopez (BKN) without affecting his SQBR. The two players then briefly engage and separate.,http://official.nba.com/last-two-minute-report/?gameNo=0021600364&eventNum=1159,20161212BKNHOU,20161212BKNHOU-5,BKN,HOU,20161212,Steve Anderson,James Capers,Josh Tiven,118,122,L2M-BKN-HOU-12-12-16.pdf,http://www.basketball-reference.com/boxscores/201612120HOU.html,BKN,HOU
Q4,00:49.0,49,Foul: Offensive,James Harden,Sean Kilpatrick,CNC,Harden (HOU) makes marginal contact with Kilpatrick (BKN) on his move prior to the shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600364&eventNum=1160,20161212BKNHOU,20161212BKNHOU-6,BKN,HOU,20161212,Steve Anderson,James Capers,Josh Tiven,118,122,L2M-BKN-HOU-12-12-16.pdf,http://www.basketball-reference.com/boxscores/201612120HOU.html,BKN,HOU
Q4,00:48.5,48.5,Foul: Shooting,Brook Lopez,James Harden,CNC,"Lopez (BKN) legally contests Harden's (HOU) jump shot attempt and allows him to land. Any ""high-five"" contact after the release is considered incidental.",http://official.nba.com/last-two-minute-report/?gameNo=0021600364&eventNum=1167,20161212BKNHOU,20161212BKNHOU-7,BKN,HOU,20161212,Steve Anderson,James Capers,Josh Tiven,118,122,L2M-BKN-HOU-12-12-16.pdf,http://www.basketball-reference.com/boxscores/201612120HOU.html,HOU,BKN
Q4,00:41.0,41,Foul: Shooting,Trevor Ariza,Joe Harris,CNC,Ariza (HOU) maintains legal guarding position on the drive to the basket by Harris (BKN) and then makes contact with the ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021600364&eventNum=1161,20161212BKNHOU,20161212BKNHOU-8,BKN,HOU,20161212,Steve Anderson,James Capers,Josh Tiven,118,122,L2M-BKN-HOU-12-12-16.pdf,http://www.basketball-reference.com/boxscores/201612120HOU.html,BKN,HOU
Q4,00:32.1,32.1,Foul: Offensive,James Harden,Sean Kilpatrick,CNC,Harden (HOU) does not dislodge Kilpatrick (BKN) from his legal guarding position on the perimeter.,http://official.nba.com/last-two-minute-report/?gameNo=0021600364&eventNum=1168,20161212BKNHOU,20161212BKNHOU-9,BKN,HOU,20161212,Steve Anderson,James Capers,Josh Tiven,118,122,L2M-BKN-HOU-12-12-16.pdf,http://www.basketball-reference.com/boxscores/201612120HOU.html,BKN,HOU
Q4,00:29.3,29.3,Foul: Personal,Jeremy Lin,Nene,CC,Lin (BKN) makes contact with Nene's (HOU) arm that affects his ability to control the pass.,http://official.nba.com/last-two-minute-report/?gameNo=0021600364&eventNum=611,20161212BKNHOU,20161212BKNHOU-10,BKN,HOU,20161212,Steve Anderson,James Capers,Josh Tiven,118,122,L2M-BKN-HOU-12-12-16.pdf,http://www.basketball-reference.com/boxscores/201612120HOU.html,HOU,BKN
Q4,00:15.0,15,Foul: Shooting,Trevor Ariza,Joe Harris,CNC,Ariza (HOU) makes contact with the ball and cleanly blocks Harris' (BKN) shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600364&eventNum=1162,20161212BKNHOU,20161212BKNHOU-11,BKN,HOU,20161212,Steve Anderson,James Capers,Josh Tiven,118,122,L2M-BKN-HOU-12-12-16.pdf,http://www.basketball-reference.com/boxscores/201612120HOU.html,BKN,HOU
Q4,00:12.3,12.3,Foul: Personal,Sean Kilpatrick,Eric Gordon,CC,Kilpatrick (BKN) commits a take foul on Gordon (HOU).,http://official.nba.com/last-two-minute-report/?gameNo=0021600364&eventNum=620,20161212BKNHOU,20161212BKNHOU-12,BKN,HOU,20161212,Steve Anderson,James Capers,Josh Tiven,118,122,L2M-BKN-HOU-12-12-16.pdf,http://www.basketball-reference.com/boxscores/201612120HOU.html,HOU,BKN
